,desocupados.nuble,fuerza.trabajo.nuble,ocupados.nuble,ocup_cuenta_propia_nacional,ocup_cuenta_propia_nuble,tasa.desempleo.nuble,tasa.ocupados.nuble,tasa.participacion.nuble,tasa.promedio.subempleo.nacional,tasa.promedio.subempleo.nuble,t_ocup_cuenta_prop_nacional,t_ocup_cuenta_prop_nuble,quarter,year
55,16668.33752456,208166.99472446,191498.6571999,1577825.0289196,40817.5435695,0.0800719515916681,0.503237977257819,0.547040584454976,0.0767650068769601,0.126406505586519,0.202220328111333,0.224967107405049,,
56,17307.38538795,209256.0661162,191948.68072825,1599802.1322792,42038.01594476,0.0827091214566712,0.503861822861902,0.549293397163222,0.0778461440523871,0.126083747118186,0.203775763177082,0.231726910101309,jul-sep,
57,15232.29469605,211673.28977452,196440.99507847,1628763.61275096,43687.05213354,0.0719613452990495,0.515074033201259,0.555013555299844,0.078631566530172,0.138186501614373,0.206307290762451,0.230633947477311,,
58,14893.88724074,215396.41541679,200502.52817605,1650813.28909362,45127.09819186,0.0691464025151973,0.525128669767396,0.56413669258658,0.07667136375235,0.142208287501064,0.207154881260145,0.229621994090864,,
59,17030.1535092,222635.95358919,205605.80007999,1624683.89793806,41052.61943193,0.0764932762864717,0.53789994736309,0.582453742404962,0.0713889889273096,0.127570128401075,0.202737859739476,0.205293313026312,oct-dic,
60,16842.55877943,225577.89270499,208735.33392556,1563428.35707354,40936.27468174,0.0746640487570147,0.545475136150244,0.589488753157724,0.0663176421401256,0.105355797814388,0.195354123969221,0.201433303901016,,
61,17617.24393126,227048.41365596,209431.1697247,1540646.41622865,40044.33752699,0.0775924554925757,0.546689210693689,0.592676430227625,0.0633739042255567,0.0949795077094678,0.192801345626737,0.200899088035154,,
62,16900.22254382,220623.39381138,203723.17126756,1534264.32747779,37850.95309533,0.076602132946376,0.531188928088855,0.575254662200782,0.0651422069522231,0.102659801235189,0.192409433669248,0.197069474518287,ene-mar,
63,16316.36555153,220510.76863546,204194.40308393,1584002.33802172,37709.48753672,0.0739935090358494,0.531828276443101,0.574324566439449,0.0659163607681933,0.122084604233807,0.198291169919261,0.192970587225078,,
64,16710.76020077,218939.33357995,202228.57337918,1608686.10064156,41143.65876063,0.076325984589095,0.526119011439646,0.569593820613864,0.0707198228502112,0.134984546405154,0.20168708726103,0.210936004676156,,
65,16288.69678416,218520.83625109,202232.13946693,1622641.70237829,45123.48705499,0.0745407031366271,0.525543103452097,0.567872736524775,0.0711809734134886,0.131424815985474,0.203526510088891,0.22929419092881,abr-jun,
66,17876.54824861,214246.82620507,196370.27795646,1616877.83730705,43274.23945563,0.0834390341516619,0.509745498702931,0.5561501282472,0.0754662161858462,0.131629988951491,0.203050361259083,0.230388958730024,,2015
67,17888.29349635,209619.89620917,191731.60271282,1645496.97212353,40167.85924554,0.0853368111512664,0.497150613395767,0.543534078398322,0.0779715734226082,0.13469091746774,0.206179102487005,0.218175964554187,,
68,17545.62622205,212701.49996793,195155.87374588,1680334.94075152,40399.13946862,0.0824894334299262,0.505446363811621,0.550888874992611,0.07992108510879,0.149501765011907,0.209304007408789,0.216643946826866,jul-sep,
69,17173.21655503,212691.89072826,195518.67417323,1666688.5333724,38114.27910634,0.0807422252735103,0.50581220811479,0.55023979347391,0.0769391605623187,0.134749457029907,0.207729021689253,0.204932887878534,,
70,14928.41347494,216030.4016817,201101.98820676,1691041.81871322,38925.54791882,0.0691032991594192,0.519670236722571,0.558246942172336,0.0736963009542606,0.124582088317901,0.209425107069665,0.198946061622706,,
71,12813.11436385,218393.9846805,205580.87031665,1681349.39493684,38118.65352413,0.0586697219824757,0.53063672088763,0.563709394331998,0.0688466603800932,0.117912090613505,0.206646496054496,0.193100034223531,oct-dic,
72,11261.46497453,227418.57375165,216157.10877712,1676370.30947784,39531.87985658,0.0495186685447599,0.557296982669928,0.586331329429349,0.0685638423375055,0.101036824536912,0.205306833817495,0.192110778559685,,
73,12894.43436149,227557.53151234,214663.09715085,1633116.49511921,37910.99245295,0.0566645027118813,0.552820842252966,0.586027817083322,0.0653582316185395,0.0979835083215034,0.200767477872579,0.185142257015449,,
74,14566.95723615,228542.73026928,213975.77303313,1646664.18141522,40742.47850086,0.0637384405926476,0.550421410816431,0.587892779839049,0.0658827057597544,0.0904710197194273,0.203845992641229,0.195276358892126,ene-mar,
75,14208.81904265,227893.56418486,213684.74514221,1668638.17441526,39308.3469246,0.0623484875207983,0.549035830273034,0.585543587319935,0.0671997950214849,0.100644687504423,0.206044806937089,0.190117817206124,,
76,14332.77816037,232652.1629908,218319.38483043,1713462.73878574,45759.56858954,0.0616060387151302,0.560310504132389,0.597095172442499,0.0729140176703025,0.105069129947469,0.21211961741916,0.219076930136576,,
77,15727.11710665,231739.15653614,216012.03942949,1719871.99016801,44654.17895021,0.0678656008838857,0.553743557781619,0.594059781836933,0.0771948640708723,0.114601094892679,0.21339150170765,0.216660958402232,abr-jun,
78,17867.04346202,230954.63369437,213087.59023235,1739584.88135936,45149.40581721,0.0773617016303906,0.545614576086921,0.591363459603915,0.0791601512391508,0.125922370635765,0.215918436532265,0.219052678988659,,2016
79,18238.56765858,226231.43335616,207992.86569758,1736711.58492107,42838.93401687,0.0806190695431201,0.531961947297829,0.578608854801321,0.0805165591602075,0.134436141347205,0.215183175735825,0.21263400446417,,
80,18261.29815903,228804.18034249,210542.88218346,1750145.50795022,44174.4168036,0.0798119078580436,0.537863449298425,0.584514681173955,0.0811818725916413,0.122886518060132,0.215937626434113,0.21344599786549,jul-sep,
81,16998.73030847,226978.92390141,209980.19359294,1782998.45654181,46210.80735792,0.0748912278562635,0.535801810141668,0.579177093846019,0.0808202623996871,0.11317227313657,0.219008193704416,0.223904125311728,,
82,17316.11779619,230216.35102632,212900.23323013,1778804.73831526,44261.78646945,0.0752167155764288,0.542620052274162,0.586753741567014,0.0790177542647069,0.102581341081214,0.216927005270073,0.210028576441325,,
83,17603.7590573,232553.44827589,214949.68921859,1758234.89496919,44272.575761,0.075697690951526,0.547208935642237,0.592023767857469,0.0750615842592677,0.100431315880744,0.21397877754663,0.210045817499084,oct-dic,
84,16632.60017473,237354.91296397,220722.31278924,1768629.38908105,44451.40033793,0.0700748089307711,0.561257355845782,0.603551082641871,0.0710313268343168,0.101177169078434,0.214890607153722,0.205283564439749,,
85,16023.22268958,241179.37791687,225156.15522729,1764844.39839484,47957.35602394,0.0664369517326763,0.571858559934062,0.612554836007511,0.0683694010215512,0.0989539421089722,0.215437313517819,0.21572706801351,,
86,15861.96481123,233981.86710067,218119.90228944,1755684.66543692,45622.1207461,0.0677914276340287,0.553353820582988,0.593594434750327,0.0701870680296585,0.0911975590416494,0.214238070623632,0.214492964525959,ene-mar,2017
87,17338.99017996,231012.35380716,213673.3636272,1751757.69891884,47895.83518766,0.0750565495490077,0.541430455718523,0.585366008543039,0.0751147570868675,0.105067500839736,0.213424453891181,0.230969142494725,,
