"","categoria","trabaja","se trabaja","mes"
"101","asalariado con contrato indefinido",61370.21366137,5538.44702918354,17
"102","no remunerado",2197.58636187,670.913773612896,17
"103","empleador",8360.84083104,2216.11719654348,18
"104","cuenta propia",48398.13227088,3811.62210669294,18
"105","asalariado sin contrato",28900.82892472,3471.22274357972,18
"106","asalariado con contrato definido",31502.39384978,3970.53223801457,18
"107","asalariado con contrato indefinido",58896.89053477,5330.85122825273,18
"108","no remunerado",2116.29111348,656.707445039381,18
"109","empleador",7844.57532678,2166.00751257252,19
"110","cuenta propia",48946.61483888,4641.51479942181,19
"111","asalariado sin contrato",28660.86840975,4009.26276705153,19
"112","asalariado con contrato definido",33114.09166465,3595.51382865497,19
"113","asalariado con contrato indefinido",62246.24961087,5804.639647335,19
"114","no remunerado",2824.70640514,999.320155988737,19
"115","empleador",7076.76860491,1873.04460120466,20
"116","cuenta propia",48059.78007022,4818.55115428673,20
"117","asalariado sin contrato",26395.17628547,3221.21821356517,20
"118","asalariado con contrato definido",30588.54593094,3447.37027096552,20
"119","asalariado con contrato indefinido",69273.0403291,6299.72710046471,20
"120","no remunerado",2955.99499365,993.106250320204,20
"121","empleador",7876.54787998,1899.98901350215,21
"122","cuenta propia",45429.55765246,4726.9293752619,21
"123","asalariado sin contrato",27363.80239816,3256.94938535031,21
"124","asalariado con contrato definido",27877.26336903,3831.40385645748,21
"125","asalariado con contrato indefinido",72237.54153406,6205.45817319623,21
"126","no remunerado",3633.98057121,1345.7849587134,21
"127","empleador",8929.36625813,2538.27699055903,22
"128","cuenta propia",37179.04942041,3457.12795171804,22
"129","asalariado sin contrato",30982.68837367,3422.35440135217,22
"130","asalariado con contrato definido",30364.70216844,4118.72283842586,22
"131","asalariado con contrato indefinido",71766.92309034,5931.59199129307,22
"132","no remunerado",3288.86121998,1327.89722611545,22
"133","empleador",10020.25948734,2786.3339332558,23
"134","cuenta propia",36003.73392763,4002.98262772179,23
"135","asalariado sin contrato",37129.62722123,4828.59228047491,23
"136","asalariado con contrato definido",32198.43449036,4585.09102005839,23
"137","asalariado con contrato indefinido",72817.90075777,5496.89588687025,23
"138","no remunerado",3658.19219379,1385.84534699495,23
"139","empleador",10207.54754329,2802.67079272083,24
"140","cuenta propia",38474.87695045,4285.32492182145,24
"141","asalariado sin contrato",39327.29857573,5172.79131073437,24
"142","asalariado con contrato definido",33186.58202404,4359.70129607502,24
"143","asalariado con contrato indefinido",72066.60190084,5872.11961373674,24
"144","no remunerado",2574.4860461,1048.58743270573,24
"145","empleador",7687.80994501,1997.7132039542,25
"146","cuenta propia",45774.83117846,4600.10737466114,25
"147","asalariado sin contrato",38641.86401411,5506.57559318604,25
"148","asalariado con contrato definido",33199.03799899,4045.15666959534,25
"149","asalariado con contrato indefinido",73795.14455912,5533.50970895204,25
"150","no remunerado",2000.50561122,716.028218074117,25
"151","empleador",8281.02406501,2517.28139187363,26
"152","cuenta propia",49877.61449156,4499.46861995207,26
"153","asalariado sin contrato",34204.18327806,4845.15035263784,26
"154","asalariado con contrato definido",31276.76973366,3566.80558759115,26
"155","asalariado con contrato indefinido",69707.25048608,5288.58857286595,26
"156","no remunerado",1430.52749562,474.983633769245,26
"157","empleador",8899.12092761,2706.55571451871,27
"158","cuenta propia",49937.47996491,4338.614558102,27
"159","asalariado sin contrato",30613.30432191,4283.89902538313,27
"160","asalariado con contrato definido",31931.17446712,3820.66065888397,27
"161","asalariado con contrato indefinido",67917.16473841,5077.53543965218,27
"162","no remunerado",2685.26993817,1063.67751028727,27
"163","empleador",10331.04775142,2785.77803877452,28
"164","cuenta propia",50171.78958653,4535.77821952914,28
"165","asalariado sin contrato",28895.7740483,3071.67606281053,28
"166","asalariado con contrato definido",31851.92274948,3782.68034460315,28
"167","asalariado con contrato indefinido",65926.85325934,4218.14788241906,28
"168","no remunerado",2933.12841575,1098.65110677588,28
"169","empleador",9151.74262236,2814.91272162602,29
"170","cuenta propia",46289.70156258,4055.12024507449,29
"171","asalariado sin contrato",28976.63036143,2735.69800539858,29
"172","asalariado con contrato definido",33318.15735028,3992.5907540017,29
"173","asalariado con contrato indefinido",67219.59104612,4403.37065953706,29
"174","no remunerado",4055.50406524,1324.88767480923,29
"175","empleador",7334.48240755,2618.4420323666,30
"176","cuenta propia",47739.57995329,4704.78827313697,30
"177","asalariado sin contrato",30952.7509027,2930.62148893078,30
"178","asalariado con contrato definido",30303.4340688,3551.74317295362,30
"179","asalariado con contrato indefinido",66491.51466461,4408.55572271742,30
"180","no remunerado",3016.81189154,1055.53912798222,30
"181","empleador",7197.13451996,2663.668187803,31
"182","cuenta propia",48094.60508844,4747.7344212359,31
"183","asalariado sin contrato",30465.62780264,3302.2559558257,31
"184","asalariado con contrato definido",27245.16639514,3171.84939288146,31
"185","asalariado con contrato indefinido",71227.07657465,4785.48700733023,31
"186","no remunerado",3383.57382821,1105.60206651227,31
"187","empleador",8574.2228289,3330.30425679441,32
"188","cuenta propia",49029.04154604,4817.40820294878,32
"189","asalariado sin contrato",32212.69328326,3345.5413470628,32
"190","asalariado con contrato definido",28272.32044315,3640.13137213318,32
"191","asalariado con contrato indefinido",70471.43058098,4942.7150363656,32
"192","no remunerado",4982.88068909,1396.91095966009,32
"193","empleador",8867.50457402,3270.76531631886,33
"194","cuenta propia",48067.33057637,4388.58455710093,33
"195","asalariado sin contrato",34390.55131795,3985.88972805463,33
"196","asalariado con contrato definido",28224.4557403,3697.76991838374,33
"197","asalariado con contrato indefinido",73750.19754365,5108.74164546896,33
"198","no remunerado",5585.56850528,1492.2942129079,33
"199","empleador",7970.30895461,3224.27486035311,34
"200","cuenta propia",46007.2546666,4247.29950788076,34
"201","asalariado sin contrato",35383.60417502,4202.94838131186,34
"202","asalariado con contrato definido",34681.97625006,4170.559272347,34
"203","asalariado con contrato indefinido",70470.53266819,5010.57198201731,34
"204","no remunerado",5177.13047682,1482.79969243371,34
"205","empleador",7763.9638515,2219.4421338976,35
"206","cuenta propia",46500.74929826,4628.38946834837,35
"207","asalariado sin contrato",34423.08269996,3953.09913516145,35
"208","asalariado con contrato definido",42565.13410952,5693.30100893985,35
"209","asalariado con contrato indefinido",71081.03081235,4679.63687119916,35
"210","no remunerado",4438.6845395,1365.56097910385,35
"211","empleador",7721.16925632,2247.15521883867,36
"212","cuenta propia",42318.75098639,4714.687945662,36
"213","asalariado sin contrato",34566.57701042,4037.42354462634,36
"214","asalariado con contrato definido",44318.22584855,5487.06707033882,36
"215","asalariado con contrato indefinido",71113.49884001,4945.46460971209,36
"216","no remunerado",4653.17504944,1402.64368845202,36
"217","empleador",9886.67780072,2528.56924348575,37
"218","cuenta propia",43106.18386509,4808.71432023831,37
"219","asalariado sin contrato",33684.44519055,3756.2881371653,37
"220","asalariado con contrato definido",40194.710992,5296.27518418584,37
"221","asalariado con contrato indefinido",72130.84591245,4654.23692564637,37
"222","no remunerado",5420.16282217,1403.55807477707,37
"223","empleador",10723.08365006,3071.79955565854,38
"224","cuenta propia",41987.504513,4417.5506557803,38
"225","asalariado sin contrato",35096.78331927,4314.48307241752,38
"226","asalariado con contrato definido",31904.37784144,3280.81799654598,38
"227","asalariado con contrato indefinido",68617.30625521,4958.55154920492,38
"228","no remunerado",4928.58108894,1222.14533185989,38
"229","empleador",10725.63414189,3080.52495582408,39
"230","cuenta propia",43459.82526272,4603.23484114155,39
"231","asalariado sin contrato",32487.13008528,3608.62263397703,39
"232","asalariado con contrato definido",31147.65487323,3291.45414563865,39
"233","asalariado con contrato indefinido",67759.20314758,4922.05825345287,39
"234","no remunerado",4467.4342768,1014.73458789215,39
"235","empleador",10869.99886761,3180.33753347583,40
"236","cuenta propia",41024.05199109,4480.10237167657,40
"237","asalariado sin contrato",33297.72100874,3534.90420333275,40
"238","asalariado con contrato definido",30034.96536499,3138.56356566404,40
"239","asalariado con contrato indefinido",66750.63656306,5306.25336824263,40
"240","no remunerado",3990.12766047,1034.4375845192,40
"241","empleador",9700.71890506,3172.19240283883,41
"242","cuenta propia",44179.31819404,4877.27983648149,41
"243","asalariado sin contrato",33006.18681042,3335.58918271027,41
"244","asalariado con contrato definido",31024.23338717,3650.75011314148,41
"245","asalariado con contrato indefinido",66189.93997648,4939.60697207385,41
"246","no remunerado",4958.41734514,1340.66789048875,41
"247","empleador",9696.18188794,3103.55432145029,42
"248","cuenta propia",46355.91921647,4759.90952517649,42
"249","asalariado sin contrato",30778.36777055,3509.74015275905,42
"250","asalariado con contrato definido",31580.15063781,3575.85845379067,42
"251","asalariado con contrato indefinido",65783.84366664,4792.24846474506,42
"252","no remunerado",5282.97540646,1348.43183525388,42
"253","empleador",9047.65146511,2999.90071721281,43
"254","cuenta propia",47300.6454644,4672.55153725977,43
"255","asalariado sin contrato",28057.48974804,3686.1785343069,43
"256","asalariado con contrato definido",32765.39631365,3811.98876480939,43
"257","asalariado con contrato indefinido",66015.68671267,4475.8512587897,43
"258","no remunerado",6026.28335009,1357.60678709787,43
"259","empleador",9973.92503918,2859.56063440114,44
"260","cuenta propia",44385.78242164,4365.1947236984,44
"261","asalariado sin contrato",23926.45767477,2879.77606725157,44
"262","asalariado con contrato definido",35243.72107504,3807.19036348025,44
"263","asalariado con contrato indefinido",67221.05651881,4764.46409125797,44
"264","no remunerado",5105.23529211,1373.9086217797,44
"265","empleador",9955.90063523,2907.69045301231,45
"266","cuenta propia",42347.9436828,4930.70969906908,45
"267","asalariado sin contrato",25842.06805593,2791.94304531528,45
"268","asalariado con contrato definido",33655.60509274,3799.50025992389,45
"269","asalariado con contrato indefinido",70402.05036488,4950.24271562124,45
"270","no remunerado",4347.31510581,1357.9851542826,45
"271","empleador",9080.61742,2857.05510168159,46
"272","cuenta propia",40750.28939,4689.90355273402,46
"273","asalariado sin contrato",29831.23262,3100.41370121371,46
"274","asalariado con contrato definido",34296.23398,3431.83808641096,46
"275","asalariado con contrato indefinido",70727.28873,5162.84792658701,46
"276","no remunerado",4540.40688,1278.84153189626,46
"277","empleador",7194.61936347,1803.73279720353,47
"278","cuenta propia",40672.64808416,5221.69173105073,47
"279","asalariado sin contrato",37276.0780203,4383.46508213379,47
"280","asalariado con contrato definido",32001.38258634,2896.2000706315,47
"281","asalariado con contrato indefinido",69947.87900104,4816.8424770686,47
"282","no remunerado",3311.94380294,835.42430843625,47
"283","empleador",8019.16197497,1824.49478708899,48
"284","cuenta propia",40627.59144042,4710.42076927409,48
"285","asalariado sin contrato",38630.83817637,4958.22164944669,48
"286","asalariado con contrato definido",31527.76322255,2952.0593732528,48
"287","asalariado con contrato indefinido",69366.81741266,4573.62781141171,48
"288","no remunerado",4651.81609933,1047.81012483992,48
"289","empleador",9513.77412323,1877.56575733447,49
"290","cuenta propia",40285.1111609,4683.40133746725,49
"291","asalariado sin contrato",37718.83809987,4913.06863214565,49
"292","asalariado con contrato definido",31259.58558187,3642.92202046151,49
"293","asalariado con contrato indefinido",67805.5213807,4033.90821684141,49
"294","no remunerado",4643.65722627,1146.53912728207,49
"295","empleador",9585.42163694,2062.81134679168,50
"296","cuenta propia",40593.0099815,4737.58257790528,50
"297","asalariado sin contrato",34813.24349841,4363.65044603455,50
"298","asalariado con contrato definido",32969.56244744,4158.2164646942,50
"299","asalariado con contrato indefinido",67489.00596413,4540.24790363662,50
"300","no remunerado",6901.81168703,1612.85538487003,50
"301","empleador",9688.02515913,2107.50979771867,51
"302","cuenta propia",41849.0817938,4675.06995275748,51
"303","asalariado sin contrato",32168.18683215,3929.24943380665,51
"304","asalariado con contrato definido",34857.77564079,4222.83672813017,51
"305","asalariado con contrato indefinido",66593.54282095,4748.41914237202,51
"306","no remunerado",6528.80605789,1805.04957533003,51
"307","empleador",8247.17814597,2007.4118222188,52
"308","cuenta propia",43615.00363721,4666.82199909492,52
"309","asalariado sin contrato",31284.84848344,4666.38424969565,52
"310","asalariado con contrato definido",32440.79370865,3772.82401822365,52
"311","asalariado con contrato indefinido",69351.39416883,5091.24199223182,52
"312","no remunerado",7351.9174464,2076.16615347715,52
"313","empleador",7521.49437076,1748.75902323294,53
"314","cuenta propia",42778.24779315,4009.22960094295,53
"315","asalariado sin contrato",27515.41651933,3848.58332862861,53
"316","asalariado con contrato definido",29682.74459843,3324.8202833528,53
"317","asalariado con contrato indefinido",71939.05396668,4809.9831467669,53
"318","no remunerado",5746.05663256,1906.83620180212,53
"319","empleador",7641.18389804,1798.48760793134,54
"320","cuenta propia",41439.30610976,3855.38337035624,54
"321","asalariado sin contrato",29395.70646788,4141.77143537295,54
"322","asalariado con contrato definido",29158.33197098,3672.51303299535,54
"323","asalariado con contrato indefinido",71548.55989769,4823.21886355015,54
"324","no remunerado",5018.53378501,1601.1900529598,54
"325","empleador",7849.97285303,1752.91927124645,55
"326","cuenta propia",42517.88782116,3883.88139457348,55
"327","asalariado sin contrato",30300.32721643,3527.62508384556,55
"328","asalariado con contrato definido",31564.38718265,3660.87606245966,55
"329","asalariado con contrato indefinido",68202.96790518,4917.11449781464,55
"330","no remunerado",3047.19453603,1106.5759041355,55
"331","empleador",9077.75987138,2244.96140002544,56
"332","cuenta propia",43872.5381089,4283.10060329375,56
"333","asalariado sin contrato",31781.1970485,3775.6550848557,56
"334","asalariado con contrato definido",32873.28345167,4012.39908505747,56
"335","asalariado con contrato indefinido",68433.53984788,5193.40287907343,56
"336","no remunerado",4187.52911859,1333.82431433082,56
"337","empleador",8474.69546192,2311.9016230094,57
"338","cuenta propia",44749.44823614,4832.74488182102,57
"339","asalariado sin contrato",35550.35049897,3694.11498368903,57
"340","asalariado con contrato definido",33912.98842798,3885.39111935692,57
"341","asalariado con contrato indefinido",68797.7639627,4967.18084609174,57
"342","no remunerado",3397.86299121,1304.67657434377,57
"343","empleador",9160.58843298,2508.04121804079,58
"344","cuenta propia",40738.13974148,5011.07166856122,58
"345","asalariado sin contrato",38539.3315735,3638.68221621805,58
"346","asalariado con contrato definido",34022.04400154,3979.04269629235,58
"347","asalariado con contrato indefinido",71008.64054343,4846.69596503302,58
"348","no remunerado",4969.96343185,1876.62962552642,58
"349","empleador",10086.20142162,2645.08050054342,59
"350","cuenta propia",40509.18511587,5050.13575306238,59
"351","asalariado sin contrato",38956.64070552,4606.37143054878,59
"352","asalariado con contrato definido",34478.42238188,4018.24955560991,59
"353","asalariado con contrato indefinido",71559.65750493,5466.72492481629,59
"354","no remunerado",5514.59766009,1776.38019963089,59
"355","empleador",12301.08727506,3136.34155023424,60
"356","cuenta propia",39876.54013973,4607.66276345848,60
"357","asalariado sin contrato",35947.20082292,4723.33676585054,60
"358","asalariado con contrato definido",33395.21856613,4012.54072306889,60
"359","asalariado con contrato indefinido",71114.98784772,5619.17307506697,60
"360","no remunerado",5855.36433299,1794.53096510863,60
"361","empleador",13322.32440212,3178.8553188763,61
"362","cuenta propia",37479.99496764,4721.76761372895,61
"363","asalariado sin contrato",37528.24619218,5032.06963174637,61
"364","asalariado con contrato definido",30249.7917322,3988.06900231092,61
"365","asalariado con contrato indefinido",66786.78366358,5303.17945765933,61
"366","no remunerado",4819.56887776,1348.70492375087,61
"367","empleador",13531.04958627,3627.16725487712,62
"368","cuenta propia",36760.35555687,4002.738335355,62
"369","asalariado sin contrato",35140.81289077,4110.64298839311,62
"370","asalariado con contrato definido",34179.48730858,4789.07384828772,62
"371","asalariado con contrato indefinido",67030.52357222,5557.0792290235,62
"372","no remunerado",3854.96594532,1170.35037452561,62
"373","empleador",10978.7532594,3113.12968285576,63
"374","cuenta propia",40075.94420701,5166.62754298209,63
"375","asalariado sin contrato",32483.29927922,3617.91637762907,63
"376","asalariado con contrato definido",35401.73769944,4917.08700131526,63
"377","asalariado con contrato indefinido",66766.78636803,5670.04984797023,63
"378","no remunerado",4284.48744809,1176.71133151288,63
"379","empleador",10854.08960356,2988.94848281861,64
"380","cuenta propia",43530.17739842,5281.41415373446,64
"381","asalariado sin contrato",28456.36911105,3319.32983956563,64
"382","asalariado con contrato definido",35295.88990338,4952.55574966931,64
"383","asalariado con contrato indefinido",67430.06591105,5472.4812679234,64
"384","no remunerado",4277.63056283,1177.69919620668,64
"385","empleador",11310.70312907,2820.2059974219,65
"386","cuenta propia",42854.99355372,5190.30541066719,65
"387","asalariado sin contrato",26683.52767059,3263.70794271742,65
"388","asalariado con contrato definido",30775.55464663,5303.60023531045,65
"389","asalariado con contrato indefinido",70317.61138055,6183.88512257766,65
"390","no remunerado",4069.09988334,1286.30242236624,65
"391","empleador",11194.94195837,2844.30328263852,66
"392","cuenta propia",39721.21916155,4637.85677003469,66
"393","asalariado sin contrato",25430.68971961,2934.98442116784,66
"394","asalariado con contrato definido",31901.432282,5292.46392088012,66
"395","asalariado con contrato indefinido",69741.50632783,6296.91509928855,66
"396","no remunerado",4070.68289788,1288.70814808998,66
"397","empleador",9414.72175844,2722.52485559741,67
"398","cuenta propia",40414.0244323,4188.24864948201,67
"399","asalariado sin contrato",23848.26935622,2897.63198751471,67
"400","asalariado con contrato definido",35824.514533,5601.14514138314,67
"401","asalariado con contrato indefinido",71871.12921984,6506.75799131297,67
"402","no remunerado",5173.1686554,1639.65015475095,67
"403","empleador",9436.34278549,2387.08918729353,68
"404","cuenta propia",37594.5596441,3742.94294881123,68
