"UTF-8","UTF-8"
"VISCII","VISCII"
"WINDOWS-1250","WINDOWS-1250"
"WINDOWS-1251","WINDOWS-1251"
"WINDOWS-1252","WINDOWS-1252"
"WINDOWS-1253","WINDOWS-1253"
"WINDOWS-1254","WINDOWS-1254"
"WINDOWS-1255","WINDOWS-1255"
"WINDOWS-1256","WINDOWS-1256"
"WINDOWS-1258","WINDOWS-1258"
"WINDOWS-31J","WINDOWS-31J"
"WINDOWS-874","WINDOWS-874"
"WINDOWS-936","WINDOWS-936"
"WINSAMI2","WINSAMI2"
"WIN-SAMI-2","WIN-SAMI-2"
"WS2","WS2"
