"","sector","tramos_edad","mes","sexo","trabaja","se trabaja","cv","Freq"
"256","Industria Manufacturera",3,1,2,245.59240621,245.59240621,100,1
"257","Industria Manufacturera",3,2,1,2777.87498088,1020.22376943432,36.73,16
"258","Industria Manufacturera",3,2,2,1249.08458067,808.893122991092,64.76,4
"259","Industria Manufacturera",3,3,1,3384.89179589,1063.67304829504,31.42,15
"260","Industria Manufacturera",3,3,2,899.74095204,495.765878425078,55.1,4
"261","Industria Manufacturera",3,4,1,4122.12900802,1341.49813528753,32.54,17
"262","Industria Manufacturera",3,4,2,697.05401543,535.087984353788,76.76,2
"263","Industria Manufacturera",4,1,1,3538.89402954,1658.46021625231,46.86,11
"264","Industria Manufacturera",4,1,2,541.07447989,318.948957299222,58.95,4
"265","Industria Manufacturera",4,2,1,4741.0348231,1661.42310104696,35.04,15
"266","Industria Manufacturera",4,2,2,1297.95951865,506.284718493356,39.01,8
"267","Industria Manufacturera",4,3,1,6242.97760598,2075.7184645104,33.25,20
"268","Industria Manufacturera",4,3,2,428.05302337,265.054723646295,61.92,3
"269","Industria Manufacturera",4,4,1,4563.08693175,1934.5048375246,42.39,14
"270","Industria Manufacturera",4,4,2,145.02331584,145.02331584,100,1
"271","Industria Manufacturera",5,1,1,2831.5987114,941.768385755602,33.26,11
"272","Industria Manufacturera",5,1,2,1150.6096716,524.172558113807,45.56,5
"273","Industria Manufacturera",5,2,1,2306.26944767,869.525079145198,37.7,10
"274","Industria Manufacturera",5,2,2,1171.34159105,534.675586499729,45.65,7
"275","Industria Manufacturera",5,3,1,1467.64359738,649.355407427215,44.24,8
"276","Industria Manufacturera",5,3,2,2056.41009863,711.859968851929,34.62,10
"277","Industria Manufacturera",5,4,1,2213.74697789,829.490679755887,37.47,11
"278","Industria Manufacturera",5,4,2,1038.35629093,469.849217320884,45.25,6
"279","Industria Manufacturera",6,1,1,1507.01060109,737.287721755014,48.92,7
"280","Industria Manufacturera",6,1,2,331.48385808,271.8814057265,82.02,2
"281","Industria Manufacturera",6,2,1,668.01495072,404.377071285449,60.53,4
"282","Industria Manufacturera",6,2,2,829.06841789,470.806150538704,56.79,4
"283","Industria Manufacturera",6,3,1,1904.97298363,762.252882687138,40.01,8
"284","Industria Manufacturera",6,3,2,1239.10781512,522.399154068978,42.16,7
"285","Industria Manufacturera",6,4,1,2053.95796153,905.403523115202,44.08,5
"286","Industria Manufacturera",6,4,2,1333.84378812,785.161845114321,58.86,6
"287","Inmobiliarias",1,1,1,603.29458704,425.251660825127,70.49,2
"288","Inmobiliarias",1,1,2,979.62460324,485.11616254055,49.52,4
"289","Inmobiliarias",1,2,1,1241.69408629,643.750380834295,51.84,5
"290","Inmobiliarias",1,2,2,334.6776352,274.430386382975,82,2
"291","Inmobiliarias",1,3,1,64.36101426,64.36101426,100,1
"292","Inmobiliarias",1,3,2,426.9137304,285.870449629368,66.96,3
"293","Inmobiliarias",1,4,1,812.64014582,497.04605200166,61.16,4
"294","Inmobiliarias",1,4,2,569.985074,404.281288673431,70.93,5
"295","Inmobiliarias",2,1,1,1110.57454491,686.759046113183,61.84,4
"296","Inmobiliarias",2,1,2,519.00460815,324.880689376686,62.6,4
"297","Inmobiliarias",2,2,1,1435.13734446,764.781375560892,53.29,5
"298","Inmobiliarias",2,2,2,1010.10282927,459.209595535688,45.46,7
"299","Inmobiliarias",2,3,1,671.24837236,395.877649033238,58.98,4
"300","Inmobiliarias",2,3,2,382.91022649,284.305123668121,74.25,3
"301","Inmobiliarias",2,4,1,1025.92106029,509.209870994196,49.63,5
"302","Inmobiliarias",2,4,2,1575.0788189,617.319980528235,39.19,8
"303","Inmobiliarias",3,1,1,872.32812762,406.982798782501,46.65,7
"304","Inmobiliarias",3,1,2,43.04415784,43.04415784,100,1
"305","Inmobiliarias",3,2,1,900.53624267,493.552255835212,54.81,5
"306","Inmobiliarias",3,2,2,569.54704525,405.390299477857,71.18,2
"307","Inmobiliarias",3,3,1,769.62538195,409.974710552277,53.27,7
"308","Inmobiliarias",3,3,2,566.69716303,403.966559277914,71.28,2
"309","Inmobiliarias",3,4,1,175.62653445,121.955149416389,69.44,2
"310","Inmobiliarias",3,4,2,1140.57894788,546.125708818824,47.88,6
"311","Inmobiliarias",4,1,1,1753.27961223,1149.31442135195,65.55,3
"312","Inmobiliarias",4,1,2,1373.27445653,750.624986452686,54.66,7
"313","Inmobiliarias",4,2,1,1552.58706056,886.107499566016,57.07,4
"314","Inmobiliarias",4,2,2,1755.39980822,772.297336363395,44,8
"315","Inmobiliarias",4,3,1,1776.04140725,966.785311211092,54.43,4
"316","Inmobiliarias",4,3,2,1119.00452623,772.928966603482,69.07,3
"317","Inmobiliarias",4,4,1,1548.92415279,959.333767088805,61.94,3
"318","Inmobiliarias",4,4,2,1499.35020628,879.505509916927,58.66,4
"319","Inmobiliarias",5,1,1,46.57704319,46.57704319,100,1
"320","Inmobiliarias",5,1,2,53.43412698,53.43412698,100,1
"321","Inmobiliarias",5,2,1,448.47995097,390.447095482176,87.06,2
"322","Inmobiliarias",5,3,1,632.96053047,489.167653158427,77.28,3
"323","Inmobiliarias",5,4,1,651.31046336,503.348938053114,77.28,3
"324","Inmobiliarias",6,1,1,76.21218089,76.2121808899999,100,1
"325","Inmobiliarias",6,2,1,1032.92309778,718.469370571006,69.56,5
"326","Inmobiliarias",6,3,1,1209.85195202,817.60526585663,67.58,6
"327","Inmobiliarias",6,4,1,224.60930018,128.63774096465,57.27,3
"328","Inmobiliarias",6,4,2,102.29246343,102.29246343,100,1
"329","Intermediacion Financiera",1,1,2,299.18946092,299.18946092,100,1
"330","Intermediacion Financiera",2,1,1,139.13821106,139.13821106,100,1
"331","Intermediacion Financiera",2,1,2,406.02909682,253.71221851227,62.49,3
"332","Intermediacion Financiera",2,2,2,58.8640318,58.8640318,100,1
"333","Intermediacion Financiera",2,3,2,82.29953908,82.2995390799999,100,1
"334","Intermediacion Financiera",3,1,1,212.84212953,147.68874143275,69.39,2
