"","sector","b1","mes","trabaja","se trabaja","Freq","cv"
"220","Inmobiliarias",8,4,815.98985313,504.305141504924,3,61.8
"221","Inmobiliarias",9,1,1110.49831928,507.986041326806,9,45.74
"222","Inmobiliarias",9,2,3016.23959058,972.151818205511,16,32.23
"223","Inmobiliarias",9,3,1082.69956087,560.447854143022,5,51.76
"224","Inmobiliarias",9,4,2784.2334232,919.760001511838,18,33.03
"225","Intermediacion Financiera",2,3,99.75957211,99.7595721099999,1,100
"226","Intermediacion Financiera",2,4,428.45511618,352.855764778783,2,82.36
"227","Intermediacion Financiera",3,1,2680.95644217,1016.11372503847,12,37.9
"228","Intermediacion Financiera",3,2,2005.34196876,991.460326795569,9,49.44
"229","Intermediacion Financiera",3,3,1737.03539647,1033.36033503095,7,59.49
"230","Intermediacion Financiera",3,4,1158.61535011,869.335132071834,5,75.03
"231","Intermediacion Financiera",4,2,69.0853769,69.0853769,1,100
"232","Intermediacion Financiera",4,3,81.18176271,81.1817627099999,1,100
"233","Intermediacion Financiera",4,4,66.63233431,66.6323343099999,1,100
"234","Intermediacion Financiera",9,1,118.24562752,118.24562752,1,100
"235","Mineria",8,1,412.75329353,250.326564842306,3,60.65
"236","Mineria",8,2,420.69654637,359.291016999148,2,85.4
"237","Mineria",8,3,70.46290747,70.4629074699999,1,100
"238","Mineria",8,4,72.50567248,72.5056724799999,1,100
"239","Mineria",9,2,63.1781843,63.1781842999999,1,100
"240","Mineria",9,4,60.89177233,60.89177233,1,100
"241","Servicios Sociales y Personales",1,1,638.62423849,452.755479211522,2,70.9
"242","Servicios Sociales y Personales",1,2,296.00646065,296.00646065,1,100
"243","Servicios Sociales y Personales",1,3,294.90929223,294.90929223,1,100
"244","Servicios Sociales y Personales",1,4,1012.46788238,568.076845241932,3,56.11
"245","Servicios Sociales y Personales",2,1,14885.61137058,2813.68082680917,68,18.9
"246","Servicios Sociales y Personales",2,2,18091.50893017,3299.8971505637,77,18.24
"247","Servicios Sociales y Personales",2,3,17520.97355686,2966.36980137284,77,16.93
"248","Servicios Sociales y Personales",2,4,15127.40793621,3232.14715818885,64,21.37
"249","Servicios Sociales y Personales",3,1,6341.03225664,1442.77483855466,31,22.75
"250","Servicios Sociales y Personales",3,2,5798.79080339,1574.79577350946,29,27.16
"251","Servicios Sociales y Personales",3,3,8537.30543913,1843.8180722471,38,21.6
"252","Servicios Sociales y Personales",3,4,5786.63039069,1541.07515789499,24,26.63
"253","Servicios Sociales y Personales",4,1,3943.69343575,1083.40144818375,20,27.47
"254","Servicios Sociales y Personales",4,2,4242.05211059,1255.34675102382,20,29.59
"255","Servicios Sociales y Personales",4,3,4094.7576992,1249.08193152845,20,30.5
"256","Servicios Sociales y Personales",4,4,4291.55234299,955.860411122758,18,22.27
"257","Servicios Sociales y Personales",5,1,7280.64353756,1665.95444152381,27,22.88
"258","Servicios Sociales y Personales",5,2,6083.48308518,1550.14656173793,27,25.48
"259","Servicios Sociales y Personales",5,3,8425.75621059,1548.68849481928,34,18.38
"260","Servicios Sociales y Personales",5,4,6973.69602828,1662.94661510415,26,23.85
"261","Servicios Sociales y Personales",6,1,628.25327486,444.019974323099,2,70.68
"262","Servicios Sociales y Personales",6,2,550.08005872,397.205157048743,2,72.21
"263","Servicios Sociales y Personales",6,3,816.0327628,547.668372598423,2,67.11
"264","Servicios Sociales y Personales",6,4,589.14721643,455.977507778997,2,77.4
"265","Servicios Sociales y Personales",7,1,481.54865235,366.363526117055,2,76.08
"266","Servicios Sociales y Personales",7,2,397.66595292,317.339118625905,2,79.8
"267","Servicios Sociales y Personales",7,3,55.42198451,55.42198451,1,100
"268","Servicios Sociales y Personales",8,1,344.89140927,344.89140927,1,100
"269","Servicios Sociales y Personales",8,2,685.75602852,463.108043156537,2,67.53
"270","Servicios Sociales y Personales",8,3,1109.80365467,579.82694422924,4,52.25
"271","Servicios Sociales y Personales",8,4,984.57583949,531.712935014832,4,54
"272","Servicios Sociales y Personales",9,1,10965.10240159,1895.15917985449,59,17.28
"273","Servicios Sociales y Personales",9,2,13375.07382145,2238.8067236128,64,16.74
"274","Servicios Sociales y Personales",9,3,12587.50938059,2090.50766621298,62,16.61
"275","Servicios Sociales y Personales",9,4,13709.12351637,2113.76485924485,67,15.42
"276","Transporte y Comunicaciones",1,1,273.92835303,273.92835303,1,100
"277","Transporte y Comunicaciones",1,2,658.3856395,658.385639499999,2,100
"278","Transporte y Comunicaciones",1,3,419.27542973,334.727285261024,2,79.83
"279","Transporte y Comunicaciones",1,4,529.51950013,529.51950013,2,100
"280","Transporte y Comunicaciones",2,1,326.86079175,267.493630343899,2,81.84
"281","Transporte y Comunicaciones",2,3,839.84706234,631.941038443905,2,75.24
"282","Transporte y Comunicaciones",2,4,601.3986988,601.398698799999,1,100
"283","Transporte y Comunicaciones",3,1,1000.49977222,588.965785958302,3,58.87
"284","Transporte y Comunicaciones",3,2,589.98011755,524.138885117313,3,88.84
"285","Transporte y Comunicaciones",3,3,60.35182451,60.35182451,1,100
"286","Transporte y Comunicaciones",3,4,443.92723189,315.420741788092,2,71.05
"287","Transporte y Comunicaciones",4,1,1825.57704068,832.603875409614,7,45.61
"288","Transporte y Comunicaciones",4,2,1173.41268613,733.521300141865,4,62.51
"289","Transporte y Comunicaciones",4,3,1020.67824917,507.069419220792,4,49.68
"290","Transporte y Comunicaciones",4,4,170.73654283,141.859066399224,2,83.09
"291","Transporte y Comunicaciones",5,1,569.26144994,538.653004208338,2,94.62
"292","Transporte y Comunicaciones",5,2,617.92940327,372.985306881718,4,60.36
"293","Transporte y Comunicaciones",5,3,323.89133383,290.456352149135,2,89.68
"294","Transporte y Comunicaciones",5,4,863.16299254,616.958267411741,2,71.48
"295","Transporte y Comunicaciones",7,1,69.73460084,69.7346008400001,1,100
"296","Transporte y Comunicaciones",7,2,533.05309744,331.582762371672,3,62.2
"297","Transporte y Comunicaciones",7,3,341.7024038,278.062816585116,2,81.38
"298","Transporte y Comunicaciones",7,4,359.55280495,286.319318220003,2,79.63
"299","Transporte y Comunicaciones",8,1,7250.72903101,1665.25353894675,26,22.97
"300","Transporte y Comunicaciones",8,2,5881.5254992,1464.10274809658,26,24.89
"301","Transporte y Comunicaciones",8,3,5969.81046566,1311.89305721122,24,21.98
"302","Transporte y Comunicaciones",8,4,4289.69874741,1321.84405122736,18,30.81
"303","Transporte y Comunicaciones",9,1,801.42721727,458.073340887002,4,57.16
"304","Transporte y Comunicaciones",9,2,482.72219792,378.103869581773,3,78.33
"305","Transporte y Comunicaciones",9,3,1579.28630016,687.099053624608,5,43.51
"306","Transporte y Comunicaciones",9,4,1083.48757023,572.599060351905,5,52.85
