"","sector","b1","categoria_ocupacion","mes","trabaja","se trabaja","cv","Freq"
"54","Agropecuario-Silvicola",2,3,1,1950.62399959,1430.27429175949,73.32,6
"55","Agropecuario-Silvicola",2,3,2,1621.55745828,1325.30317877994,81.73,3
"56","Agropecuario-Silvicola",2,3,3,1862.3057489,1495.87807146439,80.32,4
"57","Agropecuario-Silvicola",2,3,4,1910.01589143,1602.65259536941,83.91,3
"58","Agropecuario-Silvicola",3,3,1,630.56972369,432.120358959021,68.53,3
"59","Agropecuario-Silvicola",3,3,3,45.59651692,45.59651692,100,1
"60","Agropecuario-Silvicola",3,3,4,367.89347588,367.89347588,100,1
"61","Agropecuario-Silvicola",4,1,2,216.39979586,216.39979586,100,1
"62","Agropecuario-Silvicola",4,3,1,201.40525275,201.40525275,100,1
"63","Agropecuario-Silvicola",4,3,2,689.70735191,477.12811872966,69.18,2
"64","Agropecuario-Silvicola",4,3,3,82.29953908,82.2995390799999,100,1
"65","Agropecuario-Silvicola",4,3,4,76.8435232,76.8435232000001,100,1
"66","Agropecuario-Silvicola",5,3,2,46.36201687,46.3620168700001,100,1
"67","Agropecuario-Silvicola",5,3,4,76.7684807,76.7684807,100,1
"68","Agropecuario-Silvicola",5,7,1,167.27825159,167.27825159,100,1
"69","Agropecuario-Silvicola",6,1,1,1188.89726781,593.316403927675,49.9,4
"70","Agropecuario-Silvicola",6,1,2,913.11277564,502.235150462149,55,3
"71","Agropecuario-Silvicola",6,1,3,1336.16775433,910.427151554879,68.14,5
"72","Agropecuario-Silvicola",6,1,4,2134.67690348,838.898598174523,39.3,8
"73","Agropecuario-Silvicola",6,2,1,4754.14570483,1199.71173302821,25.24,21
"74","Agropecuario-Silvicola",6,2,2,7207.34519703,1731.19550234942,24.02,25
"75","Agropecuario-Silvicola",6,2,3,7281.84396154,1322.59032980993,18.16,26
"76","Agropecuario-Silvicola",6,2,4,6534.88666504,2043.12128176066,31.26,19
"77","Agropecuario-Silvicola",6,3,1,1556.6154705,743.693103715316,47.78,5
"78","Agropecuario-Silvicola",6,3,2,2822.00276307,1242.33839798439,44.02,10
"79","Agropecuario-Silvicola",6,3,3,2077.73942894,1029.8120523976,49.56,10
"80","Agropecuario-Silvicola",6,3,4,1405.56111604,721.049767617225,51.3,7
"81","Agropecuario-Silvicola",6,7,1,138.42096735,138.42096735,100,1
"82","Agropecuario-Silvicola",6,7,2,356.36582932,356.36582932,100,1
"83","Agropecuario-Silvicola",7,3,1,59.12281376,59.12281376,100,1
"84","Agropecuario-Silvicola",7,3,2,34.30155545,34.30155545,100,1
"85","Agropecuario-Silvicola",8,3,1,1768.08441878,732.535484618291,41.43,7
"86","Agropecuario-Silvicola",8,3,2,2246.58511904,827.515524679386,36.83,7
"87","Agropecuario-Silvicola",8,3,3,1782.06650525,907.402470118084,50.92,6
"88","Agropecuario-Silvicola",8,3,4,694.87533642,444.388613521267,63.95,3
"89","Agropecuario-Silvicola",9,1,1,408.36462866,408.36462866,100,1
"90","Agropecuario-Silvicola",9,2,1,3254.19659778,1222.60853373581,37.57,14
"91","Agropecuario-Silvicola",9,2,2,2830.02055555,1035.28122378982,36.58,9
"92","Agropecuario-Silvicola",9,2,3,922.64806025,528.390262090905,57.27,3
"93","Agropecuario-Silvicola",9,2,4,1706.4020808,1077.50939475033,63.15,5
"94","Agropecuario-Silvicola",9,3,1,23682.15098793,5485.68048919762,23.16,85
"95","Agropecuario-Silvicola",9,3,2,16626.55609875,4385.57559940678,26.38,59
"96","Agropecuario-Silvicola",9,3,3,14978.59045856,4479.4237230557,29.91,51
"97","Agropecuario-Silvicola",9,3,4,19136.71059328,4589.34234629877,23.98,70
"98","Agropecuario-Silvicola",9,4,3,195.65571327,195.65571327,100,1
"99","Agropecuario-Silvicola",9,7,1,556.85473442,293.883632906378,52.78,3
"100","Agropecuario-Silvicola",9,7,2,683.79087209,367.593598631325,53.76,3
"101","Agropecuario-Silvicola",9,7,3,1230.87742746,918.402856870894,74.61,5
"102","Agropecuario-Silvicola",9,7,4,543.5708191,346.353630775064,63.72,4
"103","Comercio",1,1,1,758.11529794,758.11529794,100,1
"104","Comercio",1,1,3,359.14512534,359.14512534,100,1
"105","Comercio",1,2,2,317.55596102,317.55596102,100,1
"106","Comercio",1,2,3,162.01435654,162.01435654,100,1
"107","Comercio",1,3,2,340.82967848,340.82967848,100,1
"108","Comercio",2,3,3,426.31062094,363.717358450059,85.32,2
"109","Comercio",2,3,4,390.0100701,330.171210102072,84.66,2
"110","Comercio",3,1,1,342.41044129,342.41044129,100,1
"111","Comercio",3,1,2,529.09750088,385.228866539337,72.81,2
"112","Comercio",3,1,3,654.71797461,457.26985786395,69.84,2
"113","Comercio",3,2,2,227.21978565,227.21978565,100,1
"114","Comercio",3,2,3,70.46290747,70.4629074699999,100,1
"115","Comercio",3,2,4,840.18935862,596.422817588028,70.99,2
"116","Comercio",3,3,1,2085.03491263,856.121010532579,41.06,12
"117","Comercio",3,3,2,1355.43210071,531.925166275557,39.24,9
"118","Comercio",3,3,3,1640.83781394,590.580929195299,35.99,9
"119","Comercio",3,3,4,2852.20049567,1114.44914736214,39.07,11
"120","Comercio",4,2,4,70.43989627,70.4398962700001,100,1
"121","Comercio",4,3,1,2686.98105086,808.702216755949,30.1,15
"122","Comercio",4,3,2,2191.46989795,686.014343520108,31.3,13
"123","Comercio",4,3,3,2031.32217752,647.749736093486,31.89,12
"124","Comercio",4,3,4,2325.88558424,693.438356126979,29.81,13
"125","Comercio",4,7,1,68.22011284,68.2201128399999,100,1
"126","Comercio",5,1,1,796.87433485,442.722860275631,55.56,5
"127","Comercio",5,1,2,353.22348497,291.432394316346,82.51,2
"128","Comercio",5,1,3,574.38447079,342.675954273114,59.66,3
"129","Comercio",5,1,4,922.34155583,491.720618887297,53.31,6
"130","Comercio",5,2,1,6451.50146213,1499.78954990541,23.25,32
"131","Comercio",5,2,2,7196.93260558,1565.78346461965,21.76,35
"132","Comercio",5,2,3,7310.56043458,1564.57395904958,21.4,39
"133","Comercio",5,2,4,7059.04325231,1314.48169256709,18.62,42
"134","Comercio",5,3,1,5767.10011634,1360.02203028281,23.58,33
"135","Comercio",5,3,2,7358.41894494,1558.48152059552,21.18,38
"136","Comercio",5,3,3,6684.75150096,1473.19940609862,22.04,35
"137","Comercio",5,3,4,6065.90865218,1366.8815999223,22.53,27
"138","Comercio",5,7,1,1252.70954338,525.068944206961,41.91,7
"139","Comercio",5,7,2,1265.34928992,509.748034654617,40.29,8
"140","Comercio",5,7,3,1045.04605363,464.134883056248,44.41,8
"141","Comercio",5,7,4,1473.80368903,547.148467045435,37.12,9
"142","Comercio",7,1,1,489.56055553,358.410591175633,73.21,3
"143","Comercio",7,1,2,436.87403374,354.103640068962,81.05,2
"144","Comercio",7,2,1,2672.14321081,884.102556875866,33.09,11
"145","Comercio",7,2,2,2067.19157973,761.048904717454,36.82,10
"146","Comercio",7,2,3,3046.76729123,927.703497217345,30.45,15
"147","Comercio",7,2,4,1366.16616798,634.440563663788,46.44,8
"148","Comercio",7,3,1,1354.58906767,631.966649319162,46.65,10
"149","Comercio",7,3,2,1451.65332625,580.788277358293,40.01,9
"150","Comercio",7,3,3,999.24075948,527.30456078908,52.77,5
"151","Comercio",7,3,4,956.89125852,468.241692091192,48.93,6
"152","Comercio",8,1,4,83.00025132,83.00025132,100,1
"153","Comercio",8,2,1,346.88730863,346.88730863,100,1
"154","Comercio",8,2,2,262.14809568,202.245068496529,77.15,2
"155","Comercio",8,2,3,162.01435654,162.01435654,100,1
"156","Comercio",8,3,1,1075.77679443,618.414493901523,57.49,5
"157","Comercio",8,3,2,1801.07651656,712.321996376072,39.55,9
"158","Comercio",8,3,3,1305.99649288,591.955881641105,45.33,6
"159","Comercio",8,3,4,1161.9966444,531.345332482735,45.73,6
"160","Comercio",9,1,2,143.7116593,143.7116593,100,1
"161","Comercio",9,2,1,2516.68988022,905.502615651814,35.98,12
"162","Comercio",9,2,2,3631.09752841,1174.56817503046,32.35,16
"163","Comercio",9,2,3,4909.51743584,1356.58106196063,27.63,21
"164","Comercio",9,2,4,5975.02814493,1533.07381074196,25.66,25
"165","Comercio",9,3,1,5470.91066652,1637.19174603212,29.93,19
"166","Comercio",9,3,2,4291.77059296,1433.0699916608,33.39,15
"167","Comercio",9,3,3,6741.55853451,1714.58966131482,25.43,26
"168","Comercio",9,3,4,5021.50337721,1386.67716160133,27.61,23
"169","Comercio",9,7,1,386.34204814,341.369446100118,88.36,2
"170","Comercio",9,7,2,175.936537,175.936537,100,1
"171","Construccion",1,1,1,718.17687834,508.375181846699,70.79,2
"172","Construccion",1,1,2,421.12807129,421.12807129,100,1
"173","Construccion",1,1,3,528.73812543,375.274572679634,70.98,3
"174","Construccion",2,1,1,343.43725403,343.43725403,100,1
"175","Construccion",2,1,2,352.82150371,352.82150371,100,1
"176","Construccion",2,1,3,799.13810524,572.360952920517,71.62,2
"177","Construccion",2,1,4,692.66784188,489.794210690645,70.71,2
"178","Construccion",2,2,4,72.50567248,72.5056724799999,100,1
"179","Construccion",2,3,1,612.28118433,481.399358763943,78.62,3
"180","Construccion",2,3,2,60.02772204,60.02772204,100,1
"181","Construccion",2,3,3,270.02392757,270.02392757,100,1
"182","Construccion",2,3,4,354.50094868,286.37734058495,80.78,2
"183","Construccion",3,1,1,192.06172335,136.229985383522,70.93,2
"184","Construccion",3,3,1,564.72764353,473.64795946904,83.87,2
"185","Construccion",3,3,2,66.23748639,66.23748639,100,1
"186","Construccion",3,3,3,631.43200713,389.854385430304,61.74,4
"187","Construccion",3,3,4,862.67140985,472.838594981799,54.81,6
"188","Construccion",4,3,1,1070.13889539,805.55396586694,75.28,4
"189","Construccion",4,3,2,441.60379865,367.31192733092,83.18,2
"190","Construccion",4,3,3,73.54071021,73.54071021,100,1
"191","Construccion",7,1,1,554.93420509,443.0852334575,79.84,3
"192","Construccion",7,1,2,90.37150566,90.3715056599999,100,1
"193","Construccion",7,1,3,65.40529112,65.4052911200001,100,1
"194","Construccion",7,1,4,161.15225973,114.032970476744,70.76,2
"195","Construccion",7,2,1,3192.51603018,979.377595921384,30.68,16
"196","Construccion",7,2,2,4329.39422232,1121.91771279006,25.91,19
"197","Construccion",7,2,3,3808.92962558,964.129451634186,25.31,20
